table_name,var_name,var_label,new_name,notes
mh_y_ksads_ed,ksads_eatingdis_raw_1136_t,Please note below all the different methods that you currently use to control your weight.Other (fill in),wtcontrol_other,0=No; 1=Yes
mh_y_ksads_ed,ksads_eatingdis_raw_1148_t,Note below all the things that are true when you binge eat.I feel like I have no control when I binge eat,binge_loc,0=No; 1=Yes
mh_y_ksads_ed,ksads_eatingdis_raw_1147_t,Note below all the things that are true when you binge eat.I feel depressed after binge eating,binge_depressed,0=No; 1=Yes
mh_y_ksads_ed,ksads_eatingdis_raw_1146_t,Note below all the things that are true when you binge eat.I feel disgusted or guilty after binge eating,binge_guilt,0=No; 1=Yes
mh_y_ksads_ed,ksads_eatingdis_raw_1145_t,Note below all the things that are true when you binge eat.I eat alone because I am embarrassed,binge_alone,0=No; 1=Yes
mh_y_ksads_ed,ksads_eatingdis_raw_1144_t,Note below all the things that are true when you binge eat.I eat a lot even though I am not hungry,binge_eatalot,0=No; 1=Yes
mh_y_ksads_ed,ksads_eatingdis_raw_1143_t,Note below all the things that are true when you binge eat.I eat until I am uncomfortable and I feel too full,binge_full,0=No; 1=Yes
mh_y_ksads_ed,ksads_eatingdis_raw_1142_t,Note below all the things that are true when you binge eat.I eat much more rapidly than normal,binge_rapid,0=No; 1=Yes
mh_y_ksads_ed,ksads_eatingdis_raw_1140_t,"How long have you been binge eating at least once a week? Please enter weeks, months, or years.",binge_duration,
mh_y_ksads_ed,ksads_eatingdis_raw_1139_t,"You said before that sometimes you binge eat. On average, do you binge eat at least once a week?",binge_1xweek,0=No; 1=Yes
mh_y_ksads_ed,ksads_eatingdis_raw_1138_t,GetDynamicQuestion('2.13.8.Q2'),ksads_eatingdis_raw_1138,
mh_y_ksads_ed,ksads_eatingdis_raw_1137_t,"On average, do you use at least one of these methods to try to control your weight at least once a week?",wtcontrol_any_1xweek,0=No; 1=Yes
mh_y_ksads_ed,ksads_eatingdis_raw_1149_t,How much discomfort or distress does binge eating cause you?,binge_distress,0=0; 1=1; 2=2; 3=3; 4=4; 5=5; 6=6; 7=7; 8=8; 9=9; 10=10
mh_y_ksads_ed,ksads_eatingdis_raw_1135_t,"Please note below all the different methods that you currently use to control your weight.Only eating foods or drinks with minimal calories (e.g., carrots, celery, zero calorie drinks)",wtcontrol_zerocal,0=No; 1=Yes
mh_y_ksads_ed,ksads_eatingdis_raw_1134_t,Please note below all the different methods that you currently use to control your weight.Exercising a lot,wtcontrol_exercise,0=No; 1=Yes
mh_y_ksads_ed,ksads_eatingdis_raw_1133_t,Please note below all the different methods that you currently use to control your weight.Throwing up,wtcontrol_vomit,0=No; 1=Yes
mh_y_ksads_ed,ksads_eatingdis_raw_1132_t,Please note below all the different methods that you currently use to control your weight.Water pills,wtcontrol_waterpill,0=No; 1=Yes
mh_y_ksads_ed,ksads_eatingdis_raw_1131_t,Please note below all the different methods that you currently use to control your weight.Laxatives,wtcontrol_laxative,0=No; 1=Yes
mh_y_ksads_ed,ksads_eatingdis_raw_1130_t,Please note below all the different methods that you currently use to control your weight.Diet pills,wtcontrol_dietpills,0=No; 1=Yes
mh_y_ksads_ed,ksads_eatingdis_raw_1128_t,Do you feel like your self-worth is tied to your weight?,selfworth_wt,0=No; 1=Yes
mh_y_ksads_ed,ksads_eatingdis_raw_403_t,"You said that in the past there was a time when you often worried about becoming fat, made yourself throw up, did things to control your weight like exercise excessively, restrict food, took laxatives, or diet pills and had eating binges. When was that? If this was true of you more than once, let me know when it was the worst",edsymptoms_ageworst_1,
mh_y_ksads_ed,ksads_eatingdis_raw_402_t,"You said that in the past you made yourself throw up once a week or more, did things to control your weight like exercise excessively, restrict food, took laxatives, or diet pills and had eating binges, when you ate way more than you needed to the point of feeling sick. When was that? If this was true of you more than once, let me know when it was the worst",edsymptoms_ageworst_2,
mh_y_ksads_ed,ksads_eatingdis_raw_401_t,"You said that in the past you worried all the time about becoming fat, did things to control your weight, like exercise excessively, restrict food, took laxatives, or diet pills and had eating binges, when you ate way more than you needed to the point of feeling sick. When was that? If this was true of you more than once, let me know when it was the worst",edsymptoms_ageworst_3,
mh_y_ksads_ed,ksads_eatingdis_raw_400_t,"You said that in the past you worried all the time about becoming fat, made yourself throw up once a week or more and had eating binges, when you ate way more than you needed to the point of feeling sick. When was that? If this was true of you more than once, let me know when it was the worst",edsymptoms_ageworst_4,
mh_y_ksads_ed,ksads_eatingdis_raw_1161_t,"For how long did you use these methods to control your weight? Please enter weeks, months, or years.",wtcontrol_past_duration,
mh_y_ksads_ed,ksads_eatingdis_raw_1173_t,How much discomfort or distress did binge eating cause you back then?,binge_distress_past,0=0; 1=1; 2=2; 3=3; 4=4; 5=5; 6=6; 7=7; 8=8; 9=9; 10=10
mh_y_ksads_ed,ksads_eatingdis_raw_1172_t,Note below all the things that were true when you binge ate back then.I felt like I had no control when I binge ate,binge_loc_past,0=No; 1=Yes
mh_y_ksads_ed,ksads_eatingdis_raw_1171_t,Note below all the things that were true when you binge ate back then.I felt depressed after binge eating,binge_depressed_past,0=No; 1=Yes
mh_y_ksads_ed,ksads_eatingdis_raw_1170_t,Note below all the things that were true when you binge ate back then.I felt disgusted or guilty after binge eating,binge_guilt_past,0=No; 1=Yes
mh_y_ksads_ed,ksads_eatingdis_raw_1169_t,Note below all the things that were true when you binge ate back then.I ate alone because I was embarrassed,binge_alone_past,0=No; 1=Yes
mh_y_ksads_ed,ksads_eatingdis_raw_1168_t,Note below all the things that were true when you binge ate back then.I ate a lot even though I was not hungry,binge_eatalot_past,0=No; 1=Yes
mh_y_ksads_ed,ksads_eatingdis_raw_1167_t,Note below all the things that were true when you binge ate back then.I ate until I was uncomfortable and I felt too full,binge_full_past,0=No; 1=Yes
mh_y_ksads_ed,ksads_eatingdis_raw_1166_t,Note below all the things that were true when you binge ate back then.I ate much more rapidly than normal,binge_rapid_past,0=No; 1=Yes
mh_y_ksads_ed,ksads_eatingdis_raw_1164_t,"For how long did you binge eat at least once a week back then? Please enter weeks, months, or years.",binge_duration_past,
mh_y_ksads_ed,ksads_eatingdis_raw_1163_t,dbo.GetDynamicQuestion('2.13.9.Q3'),ksads_eatingdis_raw_1163,0=No; 1=Yes
mh_y_ksads_ed,ksads_eatingdis_raw_1162_t,"For how long back then did you use at least one of these methods one or more times a week? Please enter weeks, months, or years.",wtcontrol_1xweek_past,
mh_y_ksads_ed,ksads_eatingdis_raw_399_t,"You said that in the past you worried all the time about becoming fat, made yourself throw up once a week or more and did things to control your weight like exercise excessively, restrict food, took laxatives, or diet pills. When was that? If this was true of you more than once, let me know when it was the worst",ksads_eatingdis_raw_399_p,
mh_y_ksads_ed,ksads_eatingdis_raw_1160_t,"On average back then, did you use at least one of these methods to try to control your weight one or more times per week?",wtcontrol_1xweek_past,0=No; 1=Yes
mh_y_ksads_ed,ksads_eatingdis_raw_1159_t,"On average back then, did you use this method to try to control your weight at least once per week?",ksads_eatingdis_raw_1159,0=No; 1=Yes
mh_y_ksads_ed,ksads_eatingdis_raw_1158_t,Please indicate below all the different methods that you used back then to control your weight.Other (fill in),wtcontrol_other_past,0=No; 1=Yes
mh_y_ksads_ed,ksads_eatingdis_raw_1157_t,"Please indicate below all the different methods that you used back then to control your weight.Only drank zero calorie drinks and ate no food or only ate foods with minimal calories (e.g., carrots, celery)",wtcontrol_zerocal_past,0=No; 1=Yes
mh_y_ksads_ed,ksads_eatingdis_raw_1156_t,Please indicate below all the different methods that you used back then to control your weight.Exercising a lot,wtcontrol_exercise_past,0=No; 1=Yes
